Test type: None
Sequence: 0  |  Address: 0  |  Set: 0  | Block: 0  |  Status: Miss
Sequence: 348  |  Address: 36  |  Set: 0  | Block: 1  |  Status: Miss
Sequence: 349  |  Address: 37  |  Set: 1  | Block: 1  |  Status: Miss
Sequence: 350  |  Address: 38  |  Set: 2  | Block: 1  |  Status: Miss
Sequence: 351  |  Address: 39  |  Set: 3  | Block: 1  |  Status: Miss
Sequence: 352  |  Address: 40  |  Set: 0  | Block: 2  |  Status: Miss
Sequence: 353  |  Address: 41  |  Set: 1  | Block: 2  |  Status: Miss
Sequence: 354  |  Address: 42  |  Set: 2  | Block: 2  |  Status: Miss
Sequence: 355  |  Address: 43  |  Set: 3  | Block: 2  |  Status: Miss
Sequence: 356  |  Address: 44  |  Set: 0  | Block: 3  |  Status: Miss
Sequence: 357  |  Address: 45  |  Set: 1  | Block: 3  |  Status: Miss
Sequence: 358  |  Address: 46  |  Set: 2  | Block: 3  |  Status: Miss
Sequence: 359  |  Address: 47  |  Set: 3  | Block: 3  |  Status: Miss
Sequence: 360  |  Address: 48  |  Set: 0  | Block: 4  |  Status: Miss
Sequence: 361  |  Address: 49  |  Set: 1  | Block: 4  |  Status: Miss
Sequence: 362  |  Address: 50  |  Set: 2  | Block: 4  |  Status: Miss
Sequence: 363  |  Address: 51  |  Set: 3  | Block: 4  |  Status: Miss
Sequence: 364  |  Address: 52  |  Set: 0  | Block: 5  |  Status: Miss
Sequence: 365  |  Address: 53  |  Set: 1  | Block: 5  |  Status: Miss
Sequence: 366  |  Address: 54  |  Set: 2  | Block: 5  |  Status: Miss
Sequence: 367  |  Address: 55  |  Set: 3  | Block: 5  |  Status: Miss
Sequence: 368  |  Address: 56  |  Set: 0  | Block: 6  |  Status: Miss
Sequence: 369  |  Address: 57  |  Set: 1  | Block: 6  |  Status: Miss
Sequence: 370  |  Address: 58  |  Set: 2  | Block: 6  |  Status: Miss
Sequence: 371  |  Address: 59  |  Set: 3  | Block: 6  |  Status: Miss
Sequence: 372  |  Address: 60  |  Set: 0  | Block: 7  |  Status: Miss
Sequence: 373  |  Address: 61  |  Set: 1  | Block: 7  |  Status: Miss
Sequence: 374  |  Address: 62  |  Set: 2  | Block: 7  |  Status: Miss
Sequence: 375  |  Address: 63  |  Set: 3  | Block: 7  |  Status: Miss


  1. memory access count: 376
  2. cache hit count: 120
  3. cache miss count: 256
  4. cache hit rate: 0.31914893
  5. cache miss rate: 0.68085104
  6. average memory access time: 7.8085103
  7. total memory access time: 5488896.0
